SCRIP_CODE,KEY
47358,ADANIPORTS_26-Jul-2018_410.0_PE
47361,ADANIPORTS_26-Jul-2018_420.0_CE
47362,ADANIPORTS_26-Jul-2018_420.0_PE
47363,ADANIPORTS_26-Jul-2018_430.0_CE
47383,ADANIPORTS_26-Jul-2018_430.0_PE
47384,ADANIPORTS_26-Jul-2018_440.0_CE
47386,ADANIPORTS_26-Jul-2018_440.0_PE
47387,ADANIPORTS_26-Jul-2018_450.0_CE
47395,ADANIPORTS_26-Jul-2018_450.0_PE
47396,ADANIPORTS_26-Jul-2018_460.0_CE
47407,ADANIPORTS_26-Jul-2018_460.0_PE
47411,ADANIPORTS_26-Jul-2018_470.0_CE
47412,ADANIPORTS_26-Jul-2018_470.0_PE
47421,ADANIPORTS_26-Jul-2018_480.0_CE
47422,ADANIPORTS_26-Jul-2018_480.0_PE
47426,ADANIPORTS_26-Jul-2018_490.0_CE
47428,ADANIPORTS_26-Jul-2018_490.0_PE
47429,ADANIPORTS_26-Jul-2018_500.0_CE
47442,ADANIPORTS_26-Jul-2018_500.0_PE
47443,ADANIPORTS_26-Jul-2018_510.0_CE
47462,ADANIPORTS_26-Jul-2018_510.0_PE
47463,ADANIPORTS_26-Jul-2018_520.0_CE
47470,ADANIPORTS_26-Jul-2018_520.0_PE
47471,ADANIPORTS_26-Jul-2018_530.0_CE
47472,ADANIPORTS_26-Jul-2018_530.0_PE
47474,ADANIPORTS_26-Jul-2018_540.0_CE
47477,ADANIPORTS_26-Jul-2018_540.0_PE
47478,ADANIPORTS_26-Jul-2018_550.0_CE
47479,ADANIPORTS_26-Jul-2018_550.0_PE
47480,ADANIPORTS_26-Jul-2018_560.0_CE
47482,ADANIPORTS_26-Jul-2018_560.0_PE
36473,ADANIPORTS_26-Jul-2018_570.0_CE
36478,ADANIPORTS_26-Jul-2018_570.0_PE
48383,ADANIPORTS_28-Jun-2018_-0.01_XX
57612,ADANIPORTS_28-Jun-2018_190.0_CE
57613,ADANIPORTS_28-Jun-2018_190.0_PE
57614,ADANIPORTS_28-Jun-2018_200.0_CE
57615,ADANIPORTS_28-Jun-2018_200.0_PE
57616,ADANIPORTS_28-Jun-2018_210.0_CE
57617,ADANIPORTS_28-Jun-2018_210.0_PE
57618,ADANIPORTS_28-Jun-2018_220.0_CE
57619,ADANIPORTS_28-Jun-2018_220.0_PE
57620,ADANIPORTS_28-Jun-2018_230.0_CE
57621,ADANIPORTS_28-Jun-2018_230.0_PE
57622,ADANIPORTS_28-Jun-2018_240.0_CE
57623,ADANIPORTS_28-Jun-2018_240.0_PE
57624,ADANIPORTS_28-Jun-2018_250.0_CE
57625,ADANIPORTS_28-Jun-2018_250.0_PE
57626,ADANIPORTS_28-Jun-2018_260.0_CE
57627,ADANIPORTS_28-Jun-2018_260.0_PE
57628,ADANIPORTS_28-Jun-2018_270.0_CE
57629,ADANIPORTS_28-Jun-2018_270.0_PE
57630,ADANIPORTS_28-Jun-2018_280.0_CE
57631,ADANIPORTS_28-Jun-2018_280.0_PE
57634,ADANIPORTS_28-Jun-2018_290.0_CE
57635,ADANIPORTS_28-Jun-2018_290.0_PE
57636,ADANIPORTS_28-Jun-2018_300.0_CE
57637,ADANIPORTS_28-Jun-2018_300.0_PE
57638,ADANIPORTS_28-Jun-2018_310.0_CE
57639,ADANIPORTS_28-Jun-2018_310.0_PE
57640,ADANIPORTS_28-Jun-2018_320.0_CE
57641,ADANIPORTS_28-Jun-2018_320.0_PE
57642,ADANIPORTS_28-Jun-2018_330.0_CE
57643,ADANIPORTS_28-Jun-2018_330.0_PE
57644,ADANIPORTS_28-Jun-2018_340.0_CE
57645,ADANIPORTS_28-Jun-2018_340.0_PE
57646,ADANIPORTS_28-Jun-2018_350.0_CE
57661,ADANIPORTS_28-Jun-2018_350.0_PE
57662,ADANIPORTS_28-Jun-2018_360.0_CE
57663,ADANIPORTS_28-Jun-2018_360.0_PE
