,KEY,OI,CLOSE,EXPIRY_DT,SCRIP_CODE
284,BANKNIFTY_24-May-2018_26000.0_CE,36800.0,347.6,24-May-2018,46955.0
285,BANKNIFTY_24-May-2018_26000.0_PE,114000.0,145.35,24-May-2018,46957.0
286,BANKNIFTY_24-May-2018_26100.0_CE,3960.0,289.85,24-May-2018,36989.0
287,BANKNIFTY_24-May-2018_26100.0_PE,13760.0,179.8,24-May-2018,36992.0
288,BANKNIFTY_24-May-2018_26200.0_CE,28240.0,230.35,24-May-2018,38432.0
289,BANKNIFTY_24-May-2018_26200.0_PE,39240.0,219.55,24-May-2018,38433.0
290,BANKNIFTY_24-May-2018_26300.0_CE,19200.0,182.1,24-May-2018,38434.0
291,BANKNIFTY_24-May-2018_26300.0_PE,21040.0,264.8,24-May-2018,38435.0
292,BANKNIFTY_24-May-2018_26400.0_CE,21440.0,143.95,24-May-2018,38442.0
293,BANKNIFTY_24-May-2018_26400.0_PE,9240.0,330.55,24-May-2018,38443.0
294,BANKNIFTY_24-May-2018_26500.0_CE,140800.0,111.75,24-May-2018,35040.0
295,BANKNIFTY_24-May-2018_26500.0_PE,62160.0,388.1,24-May-2018,35041.0
296,BANKNIFTY_24-May-2018_26600.0_CE,36760.0,84.3,24-May-2018,39363.0
297,BANKNIFTY_24-May-2018_26600.0_PE,3080.0,459.15,24-May-2018,39367.0
298,BANKNIFTY_24-May-2018_26700.0_CE,64360.0,64.3,24-May-2018,39368.0
299,BANKNIFTY_24-May-2018_26700.0_PE,2240.0,539.2,24-May-2018,39369.0
300,BANKNIFTY_24-May-2018_26800.0_CE,51360.0,46.5,24-May-2018,40167.0
301,BANKNIFTY_24-May-2018_26800.0_PE,40.0,516.05,24-May-2018,40168.0
302,BANKNIFTY_24-May-2018_26900.0_CE,33520.0,33.75,24-May-2018,41773.0
303,BANKNIFTY_24-May-2018_26900.0_PE,520.0,684.6,24-May-2018,41774.0
304,BANKNIFTY_24-May-2018_27000.0_CE,199000.0,25.0,24-May-2018,35111.0
305,BANKNIFTY_24-May-2018_27000.0_PE,360.0,860.0,24-May-2018,35117.0
306,BANKNIFTY_24-May-2018_27100.0_CE,29920.0,17.7,24-May-2018,36358.0
307,BANKNIFTY_24-May-2018_27100.0_PE,2680.0,904.2,24-May-2018,36359.0
308,BANKNIFTY_24-May-2018_27200.0_CE,26800.0,12.35,24-May-2018,37210.0
309,BANKNIFTY_24-May-2018_27200.0_PE,0.0,1568.95,24-May-2018,37218.0
310,BANKNIFTY_24-May-2018_27300.0_CE,30360.0,8.3,24-May-2018,39065.0
